IdCidade;Stadium
0;Arena Amazonia
1;Arena Fonte Nova
2;Arena Pantanal
3;Arena Pernambuco
4;Arena da Baixada
5;Arena de Sao Paulo
6;Arosvallen
7;Arroyito - Estadio Dr. Lisandro de la Torre
8;Ayresome Park
9;Benito Villamarin
10;Bombonera - Estadio Nemesio Diez
11;Busan Asiad Main Stadium
12;Camp Nou
13;Cape Town Stadium
14;Carlos Dittborn
15;Carlos Tartiere
16;Cavee Verte
17;Charmilles
18;Citrus Bowl
19;Comunale
20;Comunale di Cornaredo
21;Cotton Bowl
22;Cuauhtemoc
23;Dacia Arena
24;Daegu World Cup Stadium
25;Daejeon World Cup Stadium
26;Della Favorita
27;Durban Stadium
28;Durival de Brito
29;El Molinon
30;El Monumental - Estadio Monumental Antonio Vespuci
31;Ellis Park Stadium
32;Estadio Azteca
33;Estadio Beira-Rio
34;Estadio Castelao
35;Estadio Centenario
36;Estadio Corregidora
37;Estadio El Teniente-Codelco
38;Estadio Irapuato
39;Estadio Jos� Mar�a Minella
40;Estadio Mineirao
41;Estadio Municipal de Bala�dos
42;Estadio Nacional
43;Estadio Ol�mpico Chateau Carreras
44;Estadio Ol�mpico Universitario
45;Estadio Sausalito
46;Estadio Universitario
47;Estadio das Dunas
48;Estadio do Maracana
49;Eucaliptos
50;Eyravallen
51;FIFA World Cup Stadium, Cologne
52;FIFA World Cup Stadium, Dortmund
53;FIFA World Cup Stadium, Frankfurt
54;FIFA World Cup Stadium, Gelsenkirchen
55;FIFA World Cup Stadium, Hamburg
56;FIFA World Cup Stadium, Hanover
57;FIFA World Cup Stadium, Munich
58;Fort Carree
59;Foxboro Stadium
60;Franken-Stadion
61;Free State Stadium
62;Fritz-Walter-Stadion
63;Friuli
64;Giants Stadium
65;Giorgio Ascarelli
66;Giovanni Berta
67;Giuseppe Meazza
68;Goodison Park
69;Gottlieb-Daimler-Stadion
70;Gwangju World Cup Stadium
71;Hardturm
72;Hillsborough
73;Idrottsparken
74;Ilha do Retiro
75;Incheon Football Stadium
76;Independencia
77;International Stadium Yokohama
78;Jalisco
79;Jarnvallen
80;Jeju World Cup Stadium
81;Jeonju World Cup Stadium
82;Jose Amalfitani
83;Jose Rico Perez
84;Jose Zorrilla
85;Kashima Stadium
86;Kobe Wing Stadium
87;La Beaujoire
88;La Mosson
89;La Pontaise
90;La Romareda
91;La Rosaleda
92;Littorale
93;Littorio
94;Loftus Versfeld Stadium
95;Luigi Ferraris
96;Luis Casanova
97;Luis Dosal
98;Malmo Stadion
99;Maracan� - Est�dio Jornalista M�rio Filho
100;Marc Antonio Bentegodi
101;Mbombela Stadium
102;Miyagi Stadium
103;Munsu Football Stadium
104;Nacional
105;Nazionale PNF
106;Neckarstadion
107;Neza
108;Niedersachsenstadion
109;Niigata Stadium Big Swan
110;Nou Camp - Estadio Le�n
111;Nuevo Estadio
112;Nya Ullevi
113;Oita Stadium Big Eye
114;Old Trafford Stadium
115;Olympia Stadium
116;Olympiastadion
117;Orjans Vall
118;Osaka Nagai Stadium
119;Pacaembu
120;Parc des Princes
121;Parkstadion
122;Parque Central
123;Peter Mokaba Stadium
124;Pocitos
125;Pontiac Silverdome
126;Port Elizabeth Stadium
127;RFK Stadium
128;Ramon Sanchez Pizjuan
129;Rasunda Stadium
130;Renato Dall Ara
131;Rheinstadion
132;Riazor
133;Rimnersvallen
134;Roker Park Ground
135;Rose Bowl
136;Royal Bafokeng Sports Palace
137;Ryavallen
138;Saitama Stadium 2002
139;San Mames
140;San Martin
141;San Paolo
142;San Siro
143;Sant Elia
144;Santiago Bernabeu
145;Sapporo Dome
146;Sarria
147;Seoul World Cup Stadium
148;Shizuoka Stadium Ecopa
149;Soccer City Stadium
150;Soldier Field
151;St. Jakob
152;Stade Felix Bollaert
153;Stade Geoffroy Guichard
154;Stade Municipal
155;Stade Olympique
156;Stade V�lodrome
157;Stade de France
158;Stade de Gerland
159;Stade de la Meinau
160;Stade du Parc Lescure
161;Stadio Benito Mussolini
162;Stadio Olimpico
163;Stadio San Nicola
164;Stadio delle Alpi
165;Stanford Stadium
166;Suwon World Cup Stadium
167;Tecnologico
168;Tres de Marzo
169;Tunavallen
170;Velodrome Municipale
171;Vicente Calderon
172;Victor Boucquey
173;Villa Park
174;Volksparkstadion
175;Waldstadion
176;Wankdorf Stadium
177;Wembley Stadium
178;Westfalenstadion
179;White City
180;Zentralstadion
181;
